Speaker,Content,威圧度,逸脱度,発言無効度,偏り度
企画担当,今日は自動会議設定機能のトライアル結果についてお話しします。すみません、いろいろ確認が必要です。,,,,
マーケティング,まず、この機能はユーザービリティを向上させる重要な要素だと思います。,,,,
営業,でもお客さんからは、やっぱりカスタマイズ性が欲しいという声が多いです。,,,,
新人,それって、どういうことですか？つまり、どういう機能を求めているんですか？,,,,
企画担当,あ、はい。検討します。いろいろ確認しないといけません。,,,,
マーケティング,全体の方向性としては、慎重に進めるべきだと思います。,,,,
営業,いや、現場ではもっと簡単に使えるものが必要だと思うんですけど。,,,,
新人,それって、じゃあ以前の案がダメだったってことですか？,,,,
企画担当,うーん、後ほど報告します。確かに、何が必要かは確認しないと。,,,,
マーケティング,ユーザー視点が重要なので、もう少し議論しましょう。,,,,
営業,でも現場の声を聞かないと、理想論になってしまいますよ。,,,,
新人,すみません、あの、具体的にはどういう機能が必要かはまだ決まってないんですか？,,,,
企画担当,たぶん、もう少し考えます。必要な機能は確認しないと。,,,,
マーケティング,重要だと思います、それを明確にするのが。この機能の未来に影響しますから。,,,,
営業,お客さんはこう言ってました。実用性がないと意味がないです。,,,,
新人,それって、どういう実用性ですか？私、まだちゃんと理解できてなくて。,,,,
企画担当,うーん、たぶん後で確認します。重要な点は議論が必要ですね。,,,,
マーケティング,慎重に進めるべきですから、再検討が必要です。,,,,
営業,でもすぐにでも試してみるべきです。現場の声を無視できませんよ。,,,,
新人,あの、それって何を試すんですか？詳しく教えてもらえますか？,,,,
企画担当,あ、はい。とりあえず報告します。何が必要かは、後で確認します。,,,,
マーケティング,ユーザーの視点を持ち続けることが大切ですね。,,,,
営業,それよりも、具体的な要望をどうにかしないと。きちんとデータを集めるべきです。,,,,
新人,すみません、データってどのデータですか？私、まだよく分からないんです。,,,,
企画担当,それは、後で確認します。重要なことは検討しないといけません。,,,,
マーケティング,具体的な行動計画が必要ですね。,,,,
営業,でも理想論ばかりで実行可能性がない提案では困ります。実際の意見を尊重すべきです。,,,,
新人,それって、今まで出た意見は全部ダメだということですか？,,,,
企画担当,いろいろと確認します。ちょっと今は把握してないので。,,,,
マーケティング,それから、フォローアップが必要です。次回の会議で具体的なプランを話し合いましょう。,,,,
営業,そこをどうにかしないと、進展しませんから。やっぱり意見を聞くことが大事です。,,,,
新人,あの、フォローアップって具体的にどういうことですか？それも決まってない感じですか？,,,,
企画担当,すみません、あの、後ほど確認します。重要な点は考えます。,,,,
マーケティング,重要ですから、まずは全体的なビジョンを整えることが必要です。,,,,
営業,すぐにでも具体的なプランを試してみるべきです。お客さんの声を無視できません。,,,,
新人,じゃあ、実際に何を始めるべきなんですか？何が一番優先ですか？,,,,
企画担当,後ほど報告します。必要なことを確認します。,,,,
マーケティング,慎重に進める必要がありますから。目標の達成に寄与する方向で進めましょう。,,,,
営業,現場の意見もちゃんと聞きながら、進めるべきです。悪い結果にはしたくないですから。,,,,
新人,あの、すみません。結局、何をやるんですか？私、まだ全然分かってなくて。,,,,
企画担当,たぶん、重要な部分を確認します。それを後で報告します。すみません。,,,,
マーケティング,重要だと思いますので、次の会議で具体的に進めるべきです。,,,,
営業,でも理想ばかりで、実現可能性が考慮されていないと意味がないですから。,,,,
新人,あの、すみません。結局、どういう決定がされたんですか？,,,,
企画担当,うーん、後で確認します。不安なので、ちゃんと整理します。,,,,
マーケティング,このトピックはしっかりと議論する必要がありますね。,,,,
営業,具体的なアクションプランを持ってこないと、次回も同じことになります。,,,,
新人,すみません、すごく混乱しています。何が決まったのか教えてもらえますか？,,,,
企画担当,重要なので、後ほどお話しします。何が必要か確認が必要です。,,,,
マーケティング,よく考えてから議論を進めるべきですね。,,,,
営業,お客さんの意見を聞き逃してはならないと思います。それをどうにかしないと。,,,,
新人,ああ、あの、すみません。結局、どういうプランで進めるんですか？,,,,
企画担当,検討します。確認が必要ですから、もう一度考えます。お疲れ様でした。,,,,
